cidade|logradouro|id_endereco|uf|cep|bairro
Carapicuíba|6263 A, St.|1|SP|19161-605|Botafogo
Ananindeua|Ap #799-4983 Imperdiet, Rd.|2|PA|68158-575|Linhares
Imperatriz|P.O. Box 231, 4516 Donec Avenue|3|MA|65536-072|Maravilha
Vitória da Conquista|137-1204 Congue St.|4|BA|44913-254|Liberdade
Londrina|Ap #931-1262 Phasellus Rd.|5|PR|80001-722|Mônica
Chapadinha|9326 Eleifend St.|6|MA|65286-227|Glória
Guarulhos|6690 Mauris Street|7|SP|17264-969|Irajá
Salvador|9053 Elit. St.|8|BA|47983-692|Morumbi
Guarapuava|Ap #492-5786 Velit Rd.|9|PR|80720-697|Glória
Guarulhos|Ap #854-2488 Mattis. Av.|10|SP|18678-376|Figueiras
Bragança|Ap #309-1539 Fringilla St.|11|PA|66053-564|Grama
Mauá|376-5589 Ut St.|12|SP|18665-912|Pacaembu
Santa Luzia|Ap #451-5243 Donec Street|13|MG|39594386|Martins
Pelotas|854-1459 Nunc Rd.|14|RS|98841-437|Savassi
Foz do Iguaçu|P.O. Box 740, 8217 Sed St.|15|PR|81640-087|Grama
Santa Luzia|177-6218 Vulputate, Road|16|MG|33518887|Cabral
Juiz de Fora|7200 Dolor, Ave|17|MG|34996900|Carajás
Betim|8925 Convallis Avenue|18|MG|33618530|Jardim
Piracicaba|565-9211 Vitae Road|19|SP|18290-821|Cabral
Mogi das Cruzes|279-7575 Ligula Av.|20|SP|11238-048|Pampulha
Mauá|Ap #170-1933 Dis Rd.|21|SP|14361-800|Alvorada
Santa Luzia|Ap #396-9161 Nam Av.|22|MG|36523170|Flamengo
Santa Maria|4089 Sem Ave|23|RS|92193-303|Mônica
Nova Iguaçu|118-994 Nec St.|24|RJ|21659-956|Eldorado
Aparecida de Goiânia|8696 Velit. Avenue|25|GO|76768-081|Flamengo
Maringá|Ap #763-7022 Integer Avenue|26|PR|85090-149|Mônica
Olinda|Ap #264-4645 Nulla Av.|27|PE|50883-455|Floramar
Paulista|P.O. Box 737, 740 Eget, Ave|28|PE|52558-653|Martins
Betim|1383 Purus, Road|29|MG|34368385|Irajá
Florianópolis|P.O. Box 938, 9707 Dolor Rd.|30|SC|88975-704|Pampulha
Gravataí|873-3794 Enim, Rd.|31|RS|94002-545|Glória
