id_endereco|logradouro|bairro|cidade|uf|cep
1|3370 Dolor Avenue|Eldorado|Castanhal|PA|66782-220
2|P.O. Box 726, 1893 Fusce St.|Pacaembu|Caucaia|CE|60168-471
3|8822 Pede. St.|Planalto|Ipatinga|MG|31054929
4|348-4105 Enim Av.|Centro|Campinas|SP|16540-036
5|7812 Imperdiet Rd.|Floramar|Juiz de Fora|MG|38338763
6|3978 Sit St.|Linhares|Mauá|SP|13943-218
7|126-7242 Mauris St.|Linhares|Balsas|MA|65966-684
8|Ap #110-3945 Interdum Ave|Pampulha|Piracicaba|SP|17720-454
9|4259 Cum Road|Colonial|Itapipoca|CE|60215-295
10|P.O. Box 587, 699 Eget Street|Carajas|Maranguape|CE|62525-168
11|513-378 Donec St.|Maravilha|Diadema|SP|11304-555
12|Ap #241-4240 Sociis Street|Progresso|Camaçari|BA|48128-746
13|3772 Vestibulum Av.|Figueiras|Chapadinha|MA|65263-926
14|399-1436 Lacinia Avenue|Martins|Guarapuava|PR|86191-758
15|2515 Proin Road|Savassi|Joinville|SC|88255-675
16|231-3540 Nulla Av.|Carajas|São Luís|MA|65225-347
17|Ap #280-5928 Ac Av.|Liberdade|Osasco|SP|17241-276
18|P.O. Box 717, 4897 Lacus. Rd.|Morumbi|Ilhéus|BA|47773-333
19|865-781 Morbi Street|Figueiras|Santa Luzia|MG|38327768
20|Ap #855-8643 Fermentum Avenue|Cabral|Campos dos Goytacazes|RJ|24906-582
21|2437 Ipsum Ave|Colonial|Canoas|RS|90683-119
22|806-8242 Sed, St.|Carajas|Carapicuíba|SP|11531-984
23|Ap #593-1486 Lectus St.|Jardim|São Gonçalo|RJ|26395-535
24|2515 Eu St.|Pampulha|Santa Luzia|MG|35060681
25|Ap #988-6581 Luctus St.|Monica|Ribeirão Preto|SP|12347-220
26|P.O. Box 932, 9567 Dolor. St.|Planalto|Anápolis|GO|73789-621
27|Ap #490-7982 A, Road|Eldorado|Colombo|PR|80788-535
28|P.O. Box 222, 7419 Molestie St.|Botafogo|Jundiaí|SP|17023-009
29|8171 Euismod Rd.|Eldorado|Mauá|SP|11746-380
30|3377 Eu Ave|Progresso|Ilhéus|BA|46997-171
31|456-2419 Enim, Ave|Linhares|Montes Claros|MG|34628167
